row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
562,Kepler-2000 b,0,130,5,results/multi_system/_chunks/chunk_19/status_row0562_Kepler-2000_b.png,results/multi_system/_chunks/chunk_19/batch_row0562_Kepler-2000_b.npz,
563,K2-233 c,0,132,3,results/multi_system/_chunks/chunk_19/status_row0563_K2-233_c.png,results/multi_system/_chunks/chunk_19/batch_row0563_K2-233_c.npz,
564,CoRoT-24 c,0,130,5,results/multi_system/_chunks/chunk_19/status_row0564_CoRoT-24_c.png,results/multi_system/_chunks/chunk_19/batch_row0564_CoRoT-24_c.npz,
565,KOI-2513.01,0,134,1,results/multi_system/_chunks/chunk_19/status_row0565_KOI-2513.01.png,results/multi_system/_chunks/chunk_19/batch_row0565_KOI-2513.01.npz,
566,Kepler-1801 c,0,133,2,results/multi_system/_chunks/chunk_19/status_row0566_Kepler-1801_c.png,results/multi_system/_chunks/chunk_19/batch_row0566_Kepler-1801_c.npz,
567,Kepler-416 d,0,120,15,results/multi_system/_chunks/chunk_19/status_row0567_Kepler-416_d.png,results/multi_system/_chunks/chunk_19/batch_row0567_Kepler-416_d.npz,
568,Kepler-130 c,0,132,3,results/multi_system/_chunks/chunk_19/status_row0568_Kepler-130_c.png,results/multi_system/_chunks/chunk_19/batch_row0568_Kepler-130_c.npz,
569,Kepler-46 b,0,133,2,results/multi_system/_chunks/chunk_19/status_row0569_Kepler-46_b.png,results/multi_system/_chunks/chunk_19/batch_row0569_Kepler-46_b.npz,
570,Kepler-58 e,0,131,4,results/multi_system/_chunks/chunk_19/status_row0570_Kepler-58_e.png,results/multi_system/_chunks/chunk_19/batch_row0570_Kepler-58_e.npz,
571,Kepler-1994 b,0,106,29,results/multi_system/_chunks/chunk_19/status_row0571_Kepler-1994_b.png,results/multi_system/_chunks/chunk_19/batch_row0571_Kepler-1994_b.npz,
572,Kepler-1894 c,0,132,3,results/multi_system/_chunks/chunk_19/status_row0572_Kepler-1894_c.png,results/multi_system/_chunks/chunk_19/batch_row0572_Kepler-1894_c.npz,
573,Kepler-347 d,0,131,4,results/multi_system/_chunks/chunk_19/status_row0573_Kepler-347_d.png,results/multi_system/_chunks/chunk_19/batch_row0573_Kepler-347_d.npz,
574,TOI-532 b,0,131,4,results/multi_system/_chunks/chunk_19/status_row0574_TOI-532_b.png,results/multi_system/_chunks/chunk_19/batch_row0574_TOI-532_b.npz,
575,K2-54 b,0,130,5,results/multi_system/_chunks/chunk_19/status_row0575_K2-54_b.png,results/multi_system/_chunks/chunk_19/batch_row0575_K2-54_b.npz,
576,Kepler-117 b,0,133,2,results/multi_system/_chunks/chunk_19/status_row0576_Kepler-117_b.png,results/multi_system/_chunks/chunk_19/batch_row0576_Kepler-117_b.npz,
577,Kepler-9 c,0,129,6,results/multi_system/_chunks/chunk_19/status_row0577_Kepler-9_c.png,results/multi_system/_chunks/chunk_19/batch_row0577_Kepler-9_c.npz,
578,TOI-4010 b,0,130,5,results/multi_system/_chunks_tierb/chunk_00/status_row0000_TOI-4010_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0000_TOI-4010_b.npz,
579,KOI-1257 b,0,134,1,results/multi_system/_chunks_tierb/chunk_00/status_row0001_KOI-1257_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0001_KOI-1257_b.npz,
580,KELT-1 b,0,129,6,results/multi_system/_chunks_tierb/chunk_00/status_row0002_KELT-1_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0002_KELT-1_b.npz,
581,WASP-139 b,22,110,3,results/multi_system/_chunks_tierb/chunk_00/status_row0003_WASP-139_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0003_WASP-139_b.npz,
582,TOI-700 e,0,134,1,results/multi_system/_chunks_tierb/chunk_00/status_row0004_TOI-700_e.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0004_TOI-700_e.npz,
583,WASP-65 b,0,129,6,results/multi_system/_chunks_tierb/chunk_00/status_row0005_WASP-65_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0005_WASP-65_b.npz,
584,WASP-75 b,72,55,8,results/multi_system/_chunks_tierb/chunk_00/status_row0006_WASP-75_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0006_WASP-75_b.npz,
585,TOI-4552 b,0,130,5,results/multi_system/_chunks_tierb/chunk_00/status_row0007_TOI-4552_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0007_TOI-4552_b.npz,
586,TOI-4127 b,0,131,4,results/multi_system/_chunks_tierb/chunk_00/status_row0008_TOI-4127_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0008_TOI-4127_b.npz,
587,TOI-2525 b,0,127,8,results/multi_system/_chunks_tierb/chunk_00/status_row0009_TOI-2525_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0009_TOI-2525_b.npz,
588,TOI-5110 b,0,135,0,results/multi_system/_chunks_tierb/chunk_00/status_row0010_TOI-5110_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0010_TOI-5110_b.npz,
589,TOI-4377 b,0,130,5,results/multi_system/_chunks_tierb/chunk_00/status_row0011_TOI-4377_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0011_TOI-4377_b.npz,
590,TOI-1117 b,0,130,5,results/multi_system/_chunks_tierb/chunk_00/status_row0012_TOI-1117_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0012_TOI-1117_b.npz,
591,WASP-132 c,0,131,4,results/multi_system/_chunks_tierb/chunk_00/status_row0013_WASP-132_c.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0013_WASP-132_c.npz,
592,TOI-260 b,0,126,9,results/multi_system/_chunks_tierb/chunk_00/status_row0014_TOI-260_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0014_TOI-260_b.npz,
593,HD 108236 e,0,135,0,results/multi_system/_chunks_tierb/chunk_00/status_row0015_HD_108236_e.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0015_HD_108236_e.npz,
594,HD 108236 b,0,134,1,results/multi_system/_chunks_tierb/chunk_00/status_row0016_HD_108236_b.png,results/multi_system/_chunks_tierb/chunk_00/batch_row0016_HD_108236_b.npz,
595,HD 108236 c,0,135,0,results/multi_system/_chunks_tierb/chunk_01/status_row0017_HD_108236_c.png,results/multi_system/_chunks_tierb/chunk_01/batch_row0017_HD_108236_c.npz,
596,TOI-1233.01,0,133,2,results/multi_system/_chunks_tierb/chunk_01/status_row0018_TOI-1233.01.png,results/multi_system/_chunks_tierb/chunk_01/batch_row0018_TOI-1233.01.npz,
597,TOI-836 b,0,132,3,results/multi_system/_chunks_tierb/chunk_01/status_row0019_TOI-836_b.png,results/multi_system/_chunks_tierb/chunk_01/batch_row0019_TOI-836_b.npz,
